longitud,latitud,distrito,poblacion
-83.909647,09.846390,Dulce Nombre,10548
-83.911548,09.940161,Llano Grande,4342
-83.992893,09.843743,Quebradilla,5939
-83.866283,09.838765,Paraíso,20601
-83.798131,09.868729,Santiago,5224
-83.841564,09.779817,Orosi,9092
-83.803501,09.825043,Cachí,5434
-83.880743,09.838479,Llanos de S Lucía,18943
-83.987155,09.908906,Tres Ríos,9331
-84.002079,09.900082,San Diego,24576
-84.006905,09.910302,San Juan,15366
-83.969806,09.903593,San Rafael,15787
-83.991120,09.923566,Concepción,18667
-83.980907,09.922445,Dulce Nombre,7901
-83.988048,09.940077,San Ramón,4054
-84.020498,09.8872400,Río Azul,14275
-83.746028,09.894545,Juan Viñas,6552
-83.722995,09.853194,Tucurrique,4872
-83.704357,09.812222,Pejibaye,3245
-83.684398,09.906192,Turrialba,26829
-83.615558,09.854167,La Suiza,7590
-83.612801,09.966661,Peralta,618
-83.731822,09.966893,Santa Cruz,3208
-83.641849,09.977501,Santa Teresita,5355
-83.622776,09.905001,Pavones,4271
-83.582501,09.842221,Tuis,2984
-83.556111,09.823071,Tayutic,2374
-83.697246,09.924743,Santa Rosa,5083
-83.573055,09.961666,Tres Equis,1868
-83.676517,09.918551,La Isabel,6116
-83.456158,09.818448,"Grano de Oro,Chirripó",4185
-83.809521,09.916669,Pacayas,5628
-83.808635,9.884986,Cervantes,6541
-83.785601,09.922438,Capellades,2454
-83.903300,09.869170,San Rafael,28942
-83.873088,09.895498,Cot,9630
-83.878269,09.920623,Portrero Cerrado,2624
-83.845861,09.890371,Cipreses,3700
-83.839958,09.919240,Santa Rosa,2942
-83.938022,09.844084,El Tejar,24972
-83.952251,09.828365,San Isidro,9828
-83.983471,09.837825,Tobosi,6569
-84.009395,09.798609,Patio de Agua,447
-84.117244,09.998471,Heredia,19138
-84.130551,10.006087,Mercedes,29383
-84.136811,09.985577,San Francisco,49209
-84.141361,09.974568,Ulloa,28528
-84.157634,10.173677,Varablanca,700
-84.124317,10.019941,Barva,5521
-84.133397,10.043684,San Pedro,11495
-84.116399,10.049703,San Pablo,9683
-84.136641,10.015503,San Roque,5297
-84.113502,10.026375,Santa Lucía,8218
-84.115345,10.055696,San José de la Montaña,5398
-84.091182,09.979932,Santo Domingo,4730
-84.080696,09.990663,San Vicente,7442
-84.049442,09.984803,San Miguel,7341
-84.023279,09.999945,Paracito,2037
-84.076058,09.978416,Santo Tomás,7346
-84.099421,09.972582,Santa Rosa,8426
-84.056524,09.992228,Tures,4047
-84.026279,09.990945,Pará,3333
-84.158931,10.036917,Santa Bárbara,5944
-84.167485,10.028986,San Pedro,6164
-84.157621,10.019384,San Juan,8298
-84.140876,10.054849,Jesús,10408
-84.156121,10.072643,Santo Domingo,3041
-84.164081,10.055019,Purabá,4969
-84.098224,10.014596,San Rafael,9668
-84.111875,10.012573,San Josecito,12780
-84.100066,10.005323,Santiago,9349
-84.107831,10.031612,Angeles,11610
-84.067729,10.027721,Concepción,6077
-84.070000,10.016700,San Isidro,6032
-84.030935,10.032537,San José,7450
-84.039204,10.042164,Concepción,2639
-84.065647,10.009954,San Francisco,4439
-84.185833,09.978611,San Antonio,10193
-84.181993,09.993851,La Ribera,6024
-84.16526,09.978853,La Asunción,5591
-84.149868,10.014301,Barrantes,4091
-84.150000,10.000000,San Joaquín,7173
-84.160229,09.997267,Llorente,8771
-84.095833,09.996389,San Pablo,19412
-84.104806,09.982135,Rincón de Sabanilla,8259
-84.007938,10.455387,Puerto Viejo,20174
-84.134509,10.401262,La Virgen,10.706
-83.953113,10.335442,Horquetas,24331
-83.880496,10.661677,Llanuras del Gaspar,1181
-84.024051,10.781849,Cureña ,915
-84.071159,09.934669,San José,56397
-84.050000,09.916670,Zapote,21566
-84.050000,09.916670,San Francisco de Dos Ríos,23364
-84.098743,9.948473,Uruca,31696
-84.1072,09.93056,Mata Redonda,9940
-84.132877,9.945832,Pavas,71368
-84.100063,9.916198,Hatillo,50382
-84.0833,9.91667,San Sebastián,44776
-84.140392,09.919852,Escazú,11984
-84.141670,09.890644,San Antonio,26735
-84.153240,09.944805,San Rafael,27735
-84.065586,09.898114,Desamparados,33843
-84.059825,09.870309,San Miguel,31573
-84.084722,09.880556,San Juan de Dios,22368
-84.083333,09.883333,San Rafael Arriba,17104
-84.046389,09.898611,San Antonio,10762
-84.033229,09.882711,Patarrá,11864
-84.054594,09.750594,Frailes,3806
-84.005107,09.771351,San Cristóbal,3871
-84.084384,09.792601,Rosario,3061
-84.040556,09.888611,Damas,14615
-84.083333,09.900000,San Rafael Abajo,25719
-84.059444,09.893056,Gravilias,16422
-84.045278,09.869167,Los Guido,27990
-84.315967,09.846745,Santiago,11512
-84.397876,09.763369,Mercedes Sur,6595
-84.348329,09.855751,Barbacoas,4109
-84.390087,09.877841,Grifo Alto,1182
-84.289325,09.830395,San Rafael,1730
-84.336887,09.796486,Candelaria,1436
-84.341556,09.880641,Desamparaditos,666
-84.302650,09.871523,San Antonio,4337
-84.441631,09.656956,Chires,3079
-84.093532,09.629029,San Carlos,1893
-84.021013,09.661106,San Marcoss,10731
-84.029750,09.639102,San Lorenzo,5004
-84.093601,09.861254,Aserrí,28191
-84.110698,09.819072,Tarbaca,1402
-84.129425,09.794998,Vuelta de Jorco,6866
-84.107374,09.787801,San Gabriel,6447
-84.110073,09.737611,Legua,1512
-84.109542,09.758329,Monterrey,498
-84.065273,09.850801,Salitrillos,14258
-84.242563,09.915209,Colón,16548
-84.261814,09.860611,Guayabo,3930
-84.233478,09.848531,Tabarcia,4702
-84.323093,09.911303,Piedras Negras,379
-84.346309,09.904723,Picagres,824
-84.282160,09.870271,Jaris,1197
-84.237556,09.869847,Quitirrisí,1810
-84.053073,09.946396,Guadalupe,21013
-84.071519,09.942005,San Francisco,2304
-84.068900,09.94722,Calle Blancos,22076
-84.015644,09.954246,Mata de Plátano,19844
-84.020717,09.966691,Ipís,26454
-83.948841,09.961222,Rancho Redondo,2537
-84.034200,09.9575,Purral,32681
-84.181369,09.932666,Santa Ana,11775
-84.179317,09.911365,Salitral,4302
-84.190059,09.949856,Pozos,14891
-84.194700,09.935,Uruca,8257
-84.216700,09.93333,Piedades,9326
-84.233300,09.93333,Brasil,2897
-84.100215,09.902583,Alajuelita,12781
-84.105000,09.893333,San Josecito,11817
-84.117200,09.886670,San Antonio,5419
-84.083300,09.900000,Concepción,21209
-84.108100,09.90611,San Felipe,36508
-84.007961,09.976365,San Isidro,16346
-83.990369,09.989171,San Rafael,7039
-84.013898,09.983282,Dulce Nombre de Jesús,11094
-84.022700,09.972198,Patalillo,22968
-83.958827,10.002908,Cascajal,6372
